model,brand,year,title_status,mileage,color,state,condition,price,clase
mpv,gmc,2017,clean vehicle,52904.0,silver,virginia,17 hours left,5520,0
mpv,jeep,2019,clean vehicle,14195.0,orange,michigan,2 days left,10900,0
mpv,jeep,2019,clean vehicle,43965.0,red,florida,22 hours left,6330,0
door,chevrolet,2009,salvage insurance,117059.0,black,colorado,18 hours left,0,0
pickup,chevrolet,2010,salvage insurance,149189.0,white,colorado,18 hours left,25,0
door,dodge,2007,clean vehicle,112182.0,red,florida,22 hours left,2320,0
door,ford,2017,clean vehicle,49024.0,black,michigan,2 days left,23702,1
chassis,ford,1994,salvage insurance,0.0,green,california,19 hours left,0,0
door,ford,1997,salvage insurance,203297.0,green,minnesota,17 hours left,0,0
mpv,gmc,2017,clean vehicle,35821.0,silver,virginia,17 hours left,5520,0
pioneer,heartland,2018,clean vehicle,1.0,gray,pennsylvania,7 days left,4050,0
mpv,infiniti,2019,clean vehicle,32611.0,brown,florida,22 hours left,14810,0
door,chevrolet,2011,salvage insurance,105244.0,white,colorado,18 hours left,25,0
van,chrysler,2008,clean vehicle,164048.0,red,florida,23 hours left,2960,0
door,ford,2017,clean vehicle,46955.0,gray,michigan,2 days left,24800,1
door,ford,1996,salvage insurance,296860.0,green,california,19 hours left,0,0
door,ford,2006,salvage insurance,203158.0,red,illinois,17 hours left,0,0
mpv,gmc,2017,clean vehicle,70443.0,black,virginia,17 hours left,6270,0
trail,heartland,2012,clean vehicle,1.0,white,pennsylvania,7 days left,1880,0
mpv,infiniti,2019,clean vehicle,18229.0,gray,florida,22 hours left,10050,0
door,chevrolet,2014,salvage insurance,87673.0,red,colorado,18 hours left,225,0
traverse,chevrolet,2018,clean vehicle,42941.0,black,missouri,20 hours left,26900,1
door,chrysler,2007,clean vehicle,104405.0,gold,florida,23 hours left,1420,0
door,ford,2017,clean vehicle,57186.0,black,michigan,20 hours left,27003,1
door,ford,2002,salvage insurance,214800.0,black,south carolina,2 days left,0,0
door,ford,2004,salvage insurance,236980.0,gray,illinois,17 hours left,350,0
mpv,gmc,2017,clean vehicle,59808.0,black,virginia,17 hours left,5600,0
country,heartland,2011,clean vehicle,1.0,gray,pennsylvania,7 days left,6680,0
mpv,infiniti,2019,clean vehicle,20681.0,white,florida,22 hours left,10120,0
door,chevrolet,2010,salvage insurance,137422.0,red,colorado,18 hours left,0,0
door,ford,2015,clean vehicle,102700.0,white,georgia,2 days left,3920,0
door,ford,2017,clean vehicle,53270.0,black,michigan,20 hours left,23100,1
door,gmc,2004,salvage insurance,235348.0,gold,south carolina,2 days left,0,0
mpv,gmc,2017,clean vehicle,27195.0,black,virginia,17 hours left,5630,0
sundance,heartland,2009,clean vehicle,1.0,white,pennsylvania,7 days left,0,0
doors,jaguar,2019,clean vehicle,20849.0,black,florida,22 hours left,2800,0
door,chevrolet,2008,salvage insurance,159266.0,gray,california,19 hours left,0,0
door,ford,2015,clean vehicle,143818.0,black,georgia,2 days left,8850,0
f-150,ford,2017,clean vehicle,67347.0,black,michigan,20 hours left,18712,0
pickup,ford,2009,salvage insurance,180364.0,blue,tennessee,2 days left,0,0
door,ford,2009,salvage insurance,184889.0,black,illinois,17 hours left,0,0
mpv,gmc,2017,clean vehicle,117400.0,blue,virginia,17 hours left,6300,0
